,Temperature sensor 1,Temperature sensor 2,Temperature sensor 3,Temperature sensor 4,Vibration sensor,Cooling efficiency,Cooling power,Efficiency factor,Flow sensor 1,Flow sensor 2,Pressure sensor 1,Pressure sensor 2,Pressure sensor 3,Pressure sensor 4,Pressure sensor 5,Pressure sensor 6,Motor power
0,0.1456057040082711,0.07163578370754095,0.2053854703959063,0.0864463114301047,0.003131953188993658,0.10236529626438093,0.0343988428456283,0.9017658091966597,0.9304689888230615,0.5917966855078937,0.7107361782590552,0.9815934755160729,0.7532306073439459,0.0,0.476885093512583,0.3653937076788891,0.7252947064912816
1,0.20959523628109555,0.14511362545677858,0.01447197579454775,0.48391836983465336,0.0008192435972109537,1.0000000000000002,0.7340417867435162,0.024920369540045288,0.025378786090219884,0.9999999999999998,0.038091692027834266,0.006645768017163503,0.018580226102643784,0.0,1.0,1.0,0.041351232112175104
2,0.07935725728239762,0.032305392844872445,0.06551905936849159,0.33347388583063364,0.0009630910115503761,0.6000843300451583,0.4527511400399705,0.007038260270531757,0.003592843374159259,0.1586929660784119,0.009793417781299524,0.0017416035034704246,0.004200628439541202,0.0,0.38092827521663364,0.4208251151431104,0.010831215062633903
3,0.31324078594495075,0.11516562004014577,0.32417395849746683,0.09448836311199059,0.004381015031754012,0.0843982302205448,0.05457837843806234,0.891033847502127,0.914607914285838,0.15164565013176887,0.7239457314603844,0.9804973741941597,0.7581309990786862,0.0,0.39340591834438343,0.3378189401246552,0.7503877962950835
4,0.3997818361228769,0.4249196599095616,0.03639457949910314,0.048969407122784955,0.00023240953112367278,0.08796278980594405,0.0746100952885709,0.026449982497336218,0.02592344005748455,0.17771237949217103,0.03800229593546177,0.006733140150431218,0.01940401818313523,0.0,0.24720393568993815,0.2168941058134609,0.04053229226854004
5,0.10383321245779814,0.13921952658030348,0.19547674518165178,0.03001553873374557,0.0005122179884023369,0.022175705811132984,0.014691471507281962,0.007197830043025505,0.0033290828051567266,0.14881766792028656,0.010026973864015706,0.0017909249881067643,0.003312701846940986,0.0,0.02836852176361393,0.04344978797902643,0.010888894908568283
6,0.4511132072276986,0.20074416084640667,0.46734480921083466,0.039773546382519884,0.0068591403466357346,0.022017765643119105,0.019056610023518487,0.9021592637737025,0.9263986859981796,0.19562763383088483,0.7297807912675707,0.9780948853998378,0.7591268353686079,0.0,0.2980722001453333,0.3251474158116058,0.7541789981003737
7,0.4069512133175691,0.4518395889814603,0.0331283566824401,0.03023835498763239,0.0008879100495884007,0.04222972036148942,0.03823205472191855,0.025194823670323753,0.026505074648749877,0.11867399944028847,0.03871692531327786,0.0068366264567890425,0.018854629197011103,0.0,0.14365923328094266,0.1750255467888277,0.04158548877680304
8,0.050906472438028275,0.09924922311541154,0.5308415022298679,0.027488621655847863,0.0002200847832610555,0.005100689976057575,0.006755357911822217,0.007617638624000465,0.0034772872531685416,0.11684451431070067,0.009987229800007017,0.001782412032753021,0.00347395456745528,0.0,0.03610734661538606,0.049123635300679536,0.010924092344828044
9,0.5184948973592673,0.15888711282701584,0.24691919253130767,0.03107320628184575,0.005714281312590046,0.018007627619984704,0.017390440226572594,0.9208238431596997,0.9329844238127918,0.2851998471108042,0.7332921418568522,0.9768377534311597,0.7611034258526835,0.0,0.3658023424867455,0.39249240378390415,0.760020382418688
10,0.34132718043942095,0.49944411369083475,0.11135320558407777,0.024465446546743447,0.0018852242449358728,0.026319946474278523,0.02641207614252434,0.02555023715507658,0.026473040252916625,0.09062385170766665,0.03887712535954179,0.006894508997036738,0.020129043516574734,0.0,0.24542012136084357,0.2810152193455949,0.041536755395117704
11,0.03893189298611517,0.07595490035429267,0.9999999999999999,0.018258964887499694,3.855885402733701e-05,0.012571620459309046,0.028686635308666535,0.00760297075685682,0.003404481479377684,0.05363639274698203,0.010029680204811282,0.0017759324687254016,0.003113273843761532,0.0,0.025718480819254486,0.02881106243026954,0.01094963057286791
12,0.48362148273360944,0.18334332839057643,0.3924174603590424,0.02591511930800572,0.0062858048139218,0.01934653317354624,0.021840322634072033,0.8833564371512737,0.9121408764654955,0.19063136056869506,0.7373618464805395,0.9735195586976266,0.7461572025971099,0.0,0.3046842744410627,0.2607448523430943,0.7621866766114166
